Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL	f1_scores
0	0.6530	0.4072	0.7172	0.5072	0.4783	0.0251	0.0201	0.0251	0.0477
1	0.6585	0.4261	0.7208	0.5183	0.5529	0.0537	0.0504	0.0537	0.0978
2	0.6720	0.4466	0.7233	0.5222	0.5955	0.0605	0.0610	0.0605	0.1098
3	0.6825	0.4625	0.7272	0.5301	0.6355	0.0776	0.0820	0.0776	0.1384
4	0.6803	0.4618	0.7285	0.5854	0.5396	0.2568	0.2030	0.2568	0.3480
5	0.6979	0.4858	0.7279	0.5302	0.6505	0.0765	0.0824	0.0765	0.1369
6	0.7075	0.4962	0.7269	0.5274	0.6489	0.0696	0.0752	0.0696	0.1258
7	0.7096	0.4987	0.7333	0.5683	0.5845	0.1895	0.1718	0.1895	0.2862
8	0.7142	0.5103	0.7372	0.5817	0.5898	0.2249	0.2012	0.2249	0.3256
9	0.7095	0.5042	0.7366	0.5470	0.7101	0.1119	0.1262	0.1119	0.1933
10	0.7251	0.5249	0.7424	0.5822	0.6267	0.2146	0.2053	0.2146	0.3197
11	0.7160	0.5115	0.7417	0.5776	0.6331	0.2009	0.1957	0.2009	0.3050
12	0.7189	0.5209	0.7385	0.5535	0.6975	0.1290	0.1422	0.1290	0.2177
13	0.7225	0.5192	0.7456	0.6011	0.6114	0.2694	0.2434	0.2694	0.3740
14	0.7305	0.5236	0.7388	0.5860	0.5937	0.2352	0.2105	0.2352	0.3369
15	0.7295	0.5366	0.7478	0.6172	0.6004	0.3174	0.2735	0.3174	0.4152
16	0.7347	0.5462	0.7462	0.6306	0.5797	0.3653	0.2942	0.3653	0.4482
17	0.7365	0.5422	0.7475	0.5771	0.6966	0.1861	0.1983	0.1861	0.2937
18	0.7436	0.5429	0.7452	0.6088	0.5982	0.2957	0.2571	0.2957	0.3957
19	0.7397	0.5474	0.7494	0.6186	0.6065	0.3185	0.2773	0.3185	0.4177
20	0.7358	0.5462	0.7510	0.5945	0.6667	0.2352	0.2351	0.2352	0.3477
21	0.7403	0.5401	0.7224	0.6514	0.5083	0.4886	0.3065	0.4886	0.4983
22	0.7476	0.5551	0.7414	0.6373	0.5584	0.3984	0.3007	0.3984	0.4650
23	0.7372	0.5442	0.7465	0.5806	0.6705	0.1998	0.2048	0.1998	0.3078
24	0.7493	0.5628	0.7430	0.6384	0.5629	0.3984	0.3038	0.3984	0.4666
25	0.7430	0.5456	0.7475	0.6114	0.6065	0.2991	0.2633	0.2991	0.4006
26	0.7526	0.5540	0.7395	0.6384	0.5519	0.4064	0.3008	0.4064	0.4681
27	0.7471	0.5581	0.7465	0.6388	0.5745	0.3916	0.3073	0.3916	0.4657
28	0.7490	0.5670	0.7407	0.6493	0.5508	0.4395	0.3181	0.4395	0.4889
29	0.7513	0.5625	0.7478	0.6269	0.5896	0.3493	0.2896	0.3493	0.4387
30	0.7533	0.5661	0.7536	0.6202	0.6264	0.3139	0.2832	0.3139	0.4183
31	0.7530	0.5634	0.7398	0.6452	0.5499	0.4281	0.3113	0.4281	0.4814
32	0.7416	0.5401	0.7478	0.6286	0.5879	0.3550	0.2924	0.3550	0.4427
33	0.7470	0.5546	0.7485	0.6225	0.5971	0.3333	0.2829	0.3333	0.4278
34	0.7501	0.5604	0.7517	0.6455	0.5876	0.4018	0.3219	0.4018	0.4773
35	0.7406	0.5405	0.7507	0.6154	0.6181	0.3048	0.2727	0.3048	0.4083
36	0.7494	0.5585	0.7353	0.6649	0.5326	0.5034	0.3354	0.5034	0.5176
37	0.7486	0.5506	0.7523	0.6466	0.5890	0.4041	0.3242	0.4041	0.4794
38	0.7595	0.5662	0.7282	0.6662	0.5181	0.5240	0.3313	0.5240	0.5210
39	0.7464	0.5552	0.7472	0.6469	0.5712	0.4167	0.3200	0.4167	0.4818
40	0.7519	0.5536	0.7424	0.6504	0.5548	0.4395	0.3211	0.4395	0.4904
41	0.7435	0.5575	0.7230	0.6751	0.5082	0.5651	0.3387	0.5651	0.5351
42	0.7375	0.5349	0.7404	0.6141	0.5703	0.3242	0.2626	0.3242	0.4134
43	0.7488	0.5584	0.7456	0.6638	0.5575	0.4760	0.3427	0.4760	0.5135
44	0.7517	0.5626	0.7494	0.6588	0.5708	0.4509	0.3393	0.4509	0.5038
45	0.7507	0.5514	0.7472	0.6448	0.5726	0.4098	0.3169	0.4098	0.4777
46	0.7433	0.5451	0.7391	0.6458	0.5478	0.4315	0.3116	0.4315	0.4828
47	0.7429	0.5497	0.7501	0.6565	0.5742	0.4418	0.3366	0.4418	0.4994
48	0.7489	0.5411	0.7395	0.6453	0.5489	0.4292	0.3112	0.4292	0.4817
49	0.7404	0.5469	0.7510	0.6371	0.5928	0.3756	0.3085	0.3756	0.4598
50	0.7517	0.5585	0.7353	0.6635	0.5329	0.4989	0.3335	0.4989	0.5153
51	0.7488	0.5546	0.7530	0.6419	0.5958	0.3870	0.3176	0.3870	0.4692
52	0.7517	0.5632	0.7407	0.6795	0.5407	0.5388	0.3593	0.5388	0.5397
53	0.7478	0.5513	0.7443	0.6767	0.5493	0.5217	0.3589	0.5217	0.5351
54	0.7524	0.5559	0.7395	0.6702	0.5404	0.5114	0.3461	0.5114	0.5255
55	0.7474	0.5516	0.7462	0.6476	0.5677	0.4212	0.3202	0.4212	0.4836
56	0.7450	0.5456	0.7472	0.6143	0.6009	0.3094	0.2681	0.3094	0.4084
57	0.7522	0.5489	0.7501	0.6607	0.5716	0.4555	0.3425	0.4555	0.5070
58	0.7463	0.5419	0.7333	0.6577	0.5300	0.4840	0.3239	0.4840	0.5060
59	0.7525	0.5556	0.7520	0.6662	0.5740	0.4692	0.3518	0.4692	0.5163
60	0.7534	0.5486	0.7433	0.6594	0.5535	0.4669	0.3347	0.4669	0.5065
61	0.7517	0.5601	0.7382	0.6693	0.5378	0.5114	0.3438	0.5114	0.5243
62	0.7437	0.5330	0.7417	0.6500	0.5532	0.4395	0.3199	0.4395	0.4898
63	0.7478	0.5473	0.7250	0.6712	0.5117	0.5479	0.3353	0.5479	0.5292
64	0.7485	0.5441	0.7398	0.6611	0.5439	0.4806	0.3340	0.4806	0.5103
65	0.7517	0.5550	0.7385	0.6807	0.5357	0.5479	0.3588	0.5479	0.5418
66	0.7436	0.5360	0.7452	0.6355	0.5724	0.3836	0.3011	0.3836	0.4593
67	0.7506	0.5460	0.7507	0.6618	0.5729	0.4578	0.3446	0.4578	0.5089
68	0.7451	0.5364	0.7375	0.6613	0.5386	0.4863	0.3323	0.4863	0.5111
69	0.7458	0.5439	0.7385	0.6526	0.5436	0.4555	0.3210	0.4555	0.4957
70	0.7469	0.5459	0.7388	0.6597	0.5420	0.4783	0.3313	0.4783	0.5082
71	0.7511	0.5470	0.7514	0.6630	0.5741	0.4600	0.3468	0.4600	0.5108
72	0.7446	0.5456	0.7452	0.6677	0.5550	0.4897	0.3478	0.4897	0.5203
73	0.7397	0.5213	0.7243	0.6794	0.5101	0.5765	0.3453	0.5765	0.5413
74	0.7455	0.5438	0.7433	0.6556	0.5551	0.4543	0.3294	0.4543	0.4997
75	0.7446	0.5433	0.7369	0.6542	0.5391	0.4646	0.3220	0.4646	0.4991
76	0.7351	0.5190	0.7359	0.6449	0.5395	0.4361	0.3077	0.4361	0.4823
77	0.7434	0.5294	0.7272	0.6652	0.5163	0.5228	0.3291	0.5228	0.5196
78	0.7417	0.5287	0.7214	0.6657	0.5059	0.5377	0.3251	0.5377	0.5213
79	0.7457	0.5396	0.7469	0.6702	0.5580	0.4943	0.3526	0.4943	0.5242
80	0.7428	0.5244	0.7440	0.6547	0.5573	0.4498	0.3286	0.4498	0.4978
81	0.7334	0.5193	0.7395	0.6332	0.5545	0.3893	0.2928	0.3893	0.4574
82	0.7429	0.5275	0.7385	0.6471	0.5456	0.4372	0.3130	0.4372	0.4854
83	0.7405	0.5318	0.7366	0.6620	0.5362	0.4909	0.3325	0.4909	0.5125
84	0.7400	0.5324	0.7346	0.6645	0.5313	0.5034	0.3342	0.5034	0.5170
85	0.7408	0.5305	0.7404	0.6515	0.5490	0.4475	0.3210	0.4475	0.4931
86	0.7370	0.5230	0.7353	0.6479	0.5370	0.4475	0.3116	0.4475	0.4882
87	0.7381	0.5193	0.7349	0.6217	0.5456	0.3619	0.2711	0.3619	0.4351
88	0.7374	0.5322	0.7346	0.6582	0.5327	0.4829	0.3257	0.4829	0.5066
89	0.7444	0.5324	0.7385	0.6533	0.5434	0.4578	0.3220	0.4578	0.4969
90	0.7363	0.5205	0.7469	0.6317	0.5812	0.3676	0.2966	0.3676	0.4503
91	0.7380	0.5294	0.7462	0.6590	0.5615	0.4589	0.3367	0.4589	0.5050
92	0.7385	0.5230	0.7320	0.6623	0.5263	0.5023	0.3292	0.5023	0.5140
93	0.7384	0.5180	0.7349	0.6397	0.5387	0.4212	0.2993	0.4212	0.4728
94	0.7392	0.5242	0.7304	0.6515	0.5248	0.4703	0.3128	0.4703	0.4961
95	0.7393	0.5291	0.7420	0.6429	0.5574	0.4155	0.3098	0.4155	0.4761
96	0.7377	0.5128	0.7362	0.6514	0.5384	0.4566	0.3174	0.4566	0.4941
97	0.7449	0.5300	0.7378	0.6553	0.5411	0.4658	0.3242	0.4658	0.5006
98	0.7343	0.5164	0.7314	0.6584	0.5257	0.4909	0.3233	0.4909	0.5077
99	0.7366	0.5151	0.7288	0.6434	0.5227	0.4475	0.3000	0.4475	0.4822
