Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL	f1_scores
0	0.6507	0.4156	0.7221	0.5005	0.4000	0.0023	0.0014	0.0023	0.0046
0	0.6511	0.4143	0.7230	0.5026	0.6000	0.0070	0.0074	0.0070	0.0138
1	0.6603	0.4497	0.7246	0.5041	1.0000	0.0081	0.0117	0.0081	0.0161
2	0.6757	0.4586	0.7333	0.5308	0.6771	0.0754	0.0848	0.0754	0.1357
3	0.6856	0.4716	0.7314	0.5273	0.6556	0.0684	0.0754	0.0684	0.1239
4	0.6932	0.4773	0.7391	0.5605	0.6171	0.1589	0.1569	0.1589	0.2528
5	0.7003	0.4835	0.7388	0.5742	0.5847	0.2042	0.1856	0.2042	0.3027
6	0.7119	0.4909	0.7388	0.5564	0.6269	0.1462	0.1476	0.1462	0.2371
7	0.7137	0.4986	0.7414	0.5749	0.6028	0.2007	0.1886	0.2007	0.3011
8	0.7214	0.5032	0.7388	0.5989	0.5581	0.2842	0.2329	0.2842	0.3766
9	0.7284	0.5119	0.7388	0.6349	0.5398	0.4014	0.2930	0.4014	0.4604
10	0.7301	0.5153	0.7414	0.5710	0.6113	0.1879	0.1805	0.1879	0.2875
11	0.7362	0.5245	0.7504	0.5894	0.6426	0.2274	0.2232	0.2274	0.3359
12	0.7461	0.5383	0.7498	0.5950	0.6246	0.2471	0.2335	0.2471	0.3541
13	0.7483	0.5335	0.7459	0.6091	0.5817	0.3016	0.2562	0.3016	0.3972
14	0.7452	0.5355	0.7478	0.5765	0.6574	0.1914	0.1958	0.1914	0.2965
15	0.7425	0.5366	0.7491	0.5831	0.6487	0.2100	0.2100	0.2100	0.3173
16	0.7524	0.5368	0.7514	0.6036	0.6190	0.2715	0.2506	0.2715	0.3774
17	0.7573	0.5516	0.7549	0.6489	0.5832	0.4107	0.3277	0.4107	0.4820
18	0.7570	0.5484	0.7523	0.5986	0.6356	0.2529	0.2420	0.2529	0.3618
19	0.7599	0.5492	0.7510	0.6284	0.5857	0.3527	0.2927	0.3527	0.4403
20	0.7575	0.5510	0.7536	0.6130	0.6169	0.2970	0.2690	0.2970	0.4009
21	0.7605	0.5638	0.7472	0.6354	0.5658	0.3840	0.3005	0.3840	0.4575
22	0.7538	0.5469	0.7491	0.6374	0.5712	0.3863	0.3053	0.3863	0.4609
23	0.7566	0.5499	0.7517	0.6514	0.5708	0.4258	0.3284	0.4258	0.4877
24	0.7659	0.5688	0.7491	0.6685	0.5548	0.4872	0.3501	0.4872	0.5188
25	0.7654	0.5612	0.7527	0.6149	0.6088	0.3051	0.2714	0.3051	0.4065
26	0.7620	0.5502	0.7472	0.6132	0.5835	0.3121	0.2643	0.3121	0.4067
27	0.7687	0.5693	0.7549	0.6822	0.5637	0.5186	0.3735	0.5186	0.5402
28	0.7695	0.5590	0.7539	0.6661	0.5690	0.4687	0.3513	0.4687	0.5140
29	0.7663	0.5623	0.7507	0.6125	0.6019	0.3016	0.2658	0.3016	0.4019
30	0.7657	0.5506	0.7478	0.6262	0.5747	0.3527	0.2864	0.3527	0.4371
31	0.7755	0.5687	0.7562	0.6677	0.5747	0.4687	0.3556	0.4687	0.5163
32	0.7716	0.5715	0.7388	0.6881	0.5272	0.5742	0.3662	0.5742	0.5497
33	0.7687	0.5658	0.7565	0.6497	0.5883	0.4095	0.3303	0.4095	0.4829
34	0.7683	0.5644	0.7536	0.6463	0.5807	0.4049	0.3226	0.4049	0.4771
35	0.7774	0.5779	0.7623	0.6373	0.6265	0.3561	0.3166	0.3561	0.4541
36	0.7695	0.5591	0.7488	0.6443	0.5657	0.4095	0.3155	0.4095	0.4751
37	0.7734	0.5705	0.7556	0.6562	0.5801	0.4327	0.3388	0.4327	0.4957
38	0.7705	0.5571	0.7552	0.6484	0.5847	0.4084	0.3273	0.4084	0.4809
39	0.7733	0.5740	0.7572	0.6534	0.5877	0.4200	0.3363	0.4200	0.4899
40	0.7737	0.5655	0.7517	0.6728	0.5596	0.4954	0.3582	0.4954	0.5255
41	0.7736	0.5728	0.7308	0.6969	0.5125	0.6206	0.3697	0.6206	0.5614
42	0.7731	0.5714	0.7539	0.6293	0.5972	0.3492	0.2966	0.3492	0.4407
43	0.7778	0.5689	0.7591	0.6597	0.5893	0.4362	0.3472	0.4362	0.5013
44	0.7815	0.5754	0.7498	0.6843	0.5505	0.5371	0.3714	0.5371	0.5437
45	0.7734	0.5718	0.7543	0.6396	0.5886	0.3817	0.3130	0.3817	0.4631
