Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL	f1_scores
66	0.7474	0.5136	0.7275	0.6597	0.4834	0.5165	0.3125	0.5165	0.4994
67	0.7451	0.5126	0.7224	0.6550	0.4745	0.5129	0.3022	0.5129	0.4929
68	0.7491	0.5179	0.7411	0.6520	0.5087	0.4639	0.3128	0.4639	0.4853
69	0.7432	0.5069	0.7346	0.6610	0.4958	0.5055	0.3199	0.5055	0.5006
70	0.7422	0.5002	0.7452	0.6414	0.5196	0.4223	0.3010	0.4223	0.4659
71	0.7443	0.5089	0.7430	0.6513	0.5130	0.4578	0.3135	0.4578	0.4838
72	0.7476	0.5107	0.7552	0.6466	0.5456	0.4174	0.3172	0.4174	0.4730
73	0.7342	0.4906	0.7498	0.6299	0.5347	0.3770	0.2871	0.3770	0.4422
74	0.7433	0.5001	0.7462	0.6319	0.5238	0.3905	0.2872	0.3905	0.4474
75	0.7489	0.5153	0.7275	0.6636	0.4838	0.5288	0.3178	0.5288	0.5053
76	0.7435	0.4942	0.7472	0.6463	0.5237	0.4333	0.3097	0.4333	0.4742
77	0.7473	0.5103	0.7340	0.6594	0.4946	0.5018	0.3172	0.5018	0.4982
78	0.7462	0.5051	0.7237	0.6740	0.4789	0.5692	0.3281	0.5692	0.5201
79	0.7438	0.4967	0.7388	0.6465	0.5041	0.4517	0.3031	0.4517	0.4764
80	0.7408	0.5037	0.7382	0.6480	0.5027	0.4578	0.3048	0.4578	0.4792
81	0.7451	0.5079	0.7433	0.6551	0.5134	0.4688	0.3190	0.4688	0.4901
82	0.7460	0.5098	0.7585	0.6461	0.5557	0.4088	0.3192	0.4088	0.4711
83	0.7391	0.4990	0.7501	0.6368	0.5337	0.3978	0.2981	0.3978	0.4558
84	0.7390	0.4969	0.7436	0.6545	0.5142	0.4663	0.3185	0.4663	0.4891
85	0.7427	0.5071	0.7523	0.6415	0.5388	0.4076	0.3071	0.4076	0.4641
86	0.7377	0.5066	0.7449	0.6483	0.5178	0.4443	0.3108	0.4443	0.4783
87	0.7428	0.5042	0.7388	0.6516	0.5040	0.4676	0.3104	0.4676	0.4851
88	0.7371	0.4914	0.7404	0.6511	0.5074	0.4627	0.3111	0.4627	0.4840
89	0.7466	0.5092	0.7359	0.6595	0.4982	0.4982	0.3190	0.4982	0.4982
90	0.7403	0.5072	0.7366	0.6650	0.4994	0.5141	0.3270	0.5141	0.5066
91	0.7408	0.5108	0.7520	0.6621	0.5324	0.4725	0.3365	0.4725	0.5006
92	0.7413	0.5021	0.7362	0.6644	0.4988	0.5129	0.3259	0.5129	0.5057
93	0.7396	0.4966	0.7485	0.6322	0.5302	0.3868	0.2896	0.3868	0.4473
94	0.7363	0.4894	0.7404	0.6468	0.5076	0.4492	0.3049	0.4492	0.4766
95	0.7425	0.5037	0.7388	0.6607	0.5037	0.4957	0.3230	0.4957	0.4997
96	0.7371	0.5011	0.7369	0.6495	0.5000	0.4651	0.3059	0.4651	0.4819
97	0.7377	0.5003	0.7475	0.6378	0.5261	0.4064	0.2975	0.4064	0.4586
98	0.7397	0.5058	0.7424	0.6528	0.5115	0.4639	0.3151	0.4639	0.4865
99	0.7439	0.5152	0.7291	0.6659	0.4866	0.5324	0.3221	0.5324	0.5085
