Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL	f1_scores
0	0.6176	0.3570	0.7395	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000
1	0.6268	0.3769	0.7433	0.5166	0.6034	0.0433	0.0475	0.0433	0.0807
2	0.6381	0.3940	0.7424	0.5284	0.5366	0.0816	0.0782	0.0816	0.1416
3	0.6476	0.3970	0.7388	0.5340	0.4943	0.1063	0.0911	0.1063	0.1750
4	0.6602	0.4159	0.7414	0.5249	0.5268	0.0729	0.0691	0.0729	0.1281
5	0.6773	0.4322	0.7469	0.5871	0.5297	0.2534	0.2095	0.2534	0.3428
6	0.6856	0.4485	0.7533	0.5482	0.6424	0.1199	0.1308	0.1199	0.2021
7	0.6839	0.4437	0.7452	0.5315	0.5750	0.0853	0.0871	0.0853	0.1485
8	0.6882	0.4550	0.7517	0.5403	0.6557	0.0989	0.1112	0.0989	0.1719
9	0.7057	0.4752	0.7475	0.6231	0.5222	0.3634	0.2731	0.3634	0.4286
10	0.7058	0.4704	0.7636	0.5896	0.6289	0.2262	0.2260	0.2262	0.3327
11	0.7025	0.4754	0.7568	0.5858	0.5854	0.2287	0.2138	0.2287	0.3289
12	0.7140	0.4810	0.7610	0.5906	0.6070	0.2349	0.2262	0.2349	0.3387
13	0.7160	0.4814	0.7556	0.6114	0.5553	0.3103	0.2598	0.3103	0.3981
14	0.7171	0.4942	0.7623	0.5923	0.6134	0.2373	0.2304	0.2373	0.3422
15	0.7124	0.4719	0.7527	0.5622	0.5911	0.1644	0.1623	0.1644	0.2573
16	0.7130	0.4743	0.7562	0.5730	0.6016	0.1904	0.1874	0.1904	0.2892
17	0.7137	0.4866	0.7485	0.6166	0.5267	0.3412	0.2632	0.3412	0.4141
18	0.7194	0.4866	0.7543	0.5697	0.5913	0.1842	0.1793	0.1842	0.2809
19	0.7257	0.4850	0.7414	0.6274	0.5048	0.3894	0.2752	0.3894	0.4396
20	0.7252	0.4952	0.7527	0.6066	0.5459	0.3016	0.2493	0.3016	0.3885
