Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL	f1_scores
21	0.7415	0.5231	0.7510	0.6133	0.5755	0.3124	0.2646	0.3124	0.4049
22	0.7433	0.5286	0.7491	0.6459	0.5488	0.4204	0.3150	0.4204	0.4761
23	0.7499	0.5219	0.7494	0.6383	0.5532	0.3955	0.3038	0.3955	0.4612
24	0.7498	0.5289	0.7372	0.6504	0.5173	0.4608	0.3115	0.4608	0.4874
25	0.7490	0.5216	0.7485	0.6324	0.5529	0.3789	0.2939	0.3789	0.4496
26	0.7466	0.5128	0.7485	0.6220	0.5585	0.3456	0.2771	0.3456	0.4270
27	0.7434	0.5234	0.7514	0.6307	0.5639	0.3670	0.2936	0.3670	0.4446
28	0.7495	0.5302	0.7533	0.6104	0.5892	0.2981	0.2613	0.2981	0.3959
29	0.7470	0.5306	0.7211	0.6767	0.4880	0.5796	0.3337	0.5796	0.5299
30	0.7505	0.5222	0.7491	0.6250	0.5591	0.3539	0.2826	0.3539	0.4335
31	0.7458	0.5151	0.7469	0.6060	0.5628	0.2981	0.2486	0.2981	0.3898
32	0.7498	0.5320	0.7491	0.6429	0.5501	0.4109	0.3105	0.4109	0.4704
33	0.7511	0.5398	0.7536	0.6334	0.5704	0.3705	0.2997	0.3705	0.4492
34	0.7498	0.5377	0.7349	0.6757	0.5105	0.5463	0.3439	0.5463	0.5278
35	0.7586	0.5439	0.7607	0.6252	0.6088	0.3290	0.2925	0.3290	0.4271
36	0.7545	0.5373	0.7481	0.6508	0.5442	0.4382	0.3213	0.4382	0.4855
37	0.7485	0.5364	0.7330	0.6654	0.5076	0.5178	0.3288	0.5178	0.5126
38	0.7573	0.5418	0.7578	0.6359	0.5846	0.3694	0.3072	0.3694	0.4527
39	0.7522	0.5277	0.7517	0.6231	0.5703	0.3420	0.2815	0.3420	0.4276
40	0.7554	0.5418	0.7481	0.6303	0.5528	0.3729	0.2903	0.3729	0.4454
41	0.7635	0.5521	0.7575	0.6472	0.5748	0.4062	0.3242	0.4062	0.4760
42	0.7624	0.5484	0.7475	0.6582	0.5402	0.4632	0.3313	0.4632	0.4987
43	0.7507	0.5394	0.7465	0.6442	0.5421	0.4204	0.3102	0.4204	0.4736
44	0.7600	0.5451	0.7552	0.6415	0.5707	0.3931	0.3137	0.3931	0.4655
45	0.7525	0.5459	0.7507	0.6530	0.5506	0.4394	0.3267	0.4394	0.4888
46	0.7563	0.5411	0.7417	0.6640	0.5253	0.4941	0.3341	0.4941	0.5092
47	0.7506	0.5390	0.7430	0.6529	0.5304	0.4561	0.3199	0.4561	0.4904
48	0.7578	0.5456	0.7494	0.6394	0.5526	0.3990	0.3055	0.3990	0.4634
49	0.7545	0.5376	0.7436	0.6403	0.5353	0.4145	0.3020	0.4145	0.4672
50	0.7620	0.5464	0.7308	0.6747	0.5032	0.5523	0.3391	0.5523	0.5266
51	0.7599	0.5458	0.7514	0.6568	0.5509	0.4501	0.3327	0.4501	0.4954
52	0.7622	0.5496	0.7588	0.6380	0.5866	0.3741	0.3114	0.3741	0.4569
53	0.7569	0.5531	0.7388	0.6638	0.5191	0.5000	0.3315	0.5000	0.5094
54	0.7613	0.5581	0.7449	0.6740	0.5303	0.5190	0.3503	0.5190	0.5246
55	0.7559	0.5502	0.7411	0.6646	0.5238	0.4976	0.3345	0.4976	0.5104
56	0.7621	0.5505	0.7501	0.6619	0.5456	0.4691	0.3386	0.4691	0.5045
57	0.7543	0.5380	0.7594	0.6455	0.5829	0.3967	0.3235	0.3967	0.4721
58	0.7599	0.5524	0.7330	0.6800	0.5069	0.5641	0.3477	0.5641	0.5340
59	0.7576	0.5540	0.7240	0.6798	0.4925	0.5831	0.3399	0.5831	0.5340
60	0.7556	0.5548	0.7488	0.6558	0.5443	0.4525	0.3289	0.4525	0.4942
61	0.7608	0.5550	0.7536	0.6576	0.5569	0.4477	0.3358	0.4477	0.4964
62	0.7560	0.5551	0.7475	0.6649	0.5383	0.4846	0.3406	0.4846	0.5100
63	0.7521	0.5371	0.7507	0.6280	0.5632	0.3599	0.2887	0.3599	0.4391
64	0.7589	0.5507	0.7414	0.6682	0.5239	0.5083	0.3396	0.5083	0.5160
65	0.7574	0.5498	0.7462	0.6693	0.5342	0.5012	0.3453	0.5012	0.5172
66	0.7587	0.5573	0.7433	0.6699	0.5277	0.5095	0.3435	0.5095	0.5184
67	0.7489	0.5447	0.7559	0.6438	0.5714	0.3990	0.3178	0.3990	0.4699
68	0.7546	0.5468	0.7243	0.6718	0.4926	0.5570	0.3300	0.5570	0.5229
69	0.7521	0.5402	0.7340	0.6613	0.5096	0.5024	0.3240	0.5024	0.5060
70	0.7570	0.5523	0.7398	0.6623	0.5214	0.4929	0.3302	0.4929	0.5067
71	0.7550	0.5487	0.7520	0.6602	0.5513	0.4596	0.3381	0.4596	0.5013
72	0.7543	0.5521	0.7527	0.6498	0.5576	0.4252	0.3238	0.4252	0.4825
73	0.7557	0.5461	0.7549	0.6529	0.5630	0.4299	0.3303	0.4299	0.4875
74	0.7538	0.5395	0.7514	0.6549	0.5516	0.4442	0.3300	0.4442	0.4921
75	0.7567	0.5508	0.7452	0.6593	0.5343	0.4715	0.3308	0.4715	0.5009
76	0.7558	0.5476	0.7420	0.6660	0.5256	0.5000	0.3372	0.5000	0.5125
77	0.7536	0.5511	0.7475	0.6556	0.5410	0.4549	0.3276	0.4549	0.4942
78	0.7494	0.5427	0.7298	0.6662	0.5017	0.5273	0.3272	0.5273	0.5142
79	0.7443	0.5414	0.7498	0.6561	0.5468	0.4513	0.3302	0.4513	0.4945
80	0.7556	0.5533	0.7568	0.6587	0.5658	0.4442	0.3403	0.4442	0.4977
81	0.7525	0.5475	0.7404	0.6612	0.5229	0.4881	0.3293	0.4881	0.5049
82	0.7557	0.5478	0.7456	0.6614	0.5346	0.4774	0.3340	0.4774	0.5044
83	0.7519	0.5338	0.7288	0.6682	0.5000	0.5356	0.3290	0.5356	0.5172
84	0.7505	0.5405	0.7433	0.6643	0.5287	0.4917	0.3360	0.4917	0.5095
85	0.7486	0.5453	0.7488	0.6435	0.5489	0.4133	0.3110	0.4133	0.4715
86	0.7519	0.5353	0.7456	0.6517	0.5371	0.4466	0.3203	0.4466	0.4877
87	0.7455	0.5395	0.7211	0.6804	0.4882	0.5914	0.3383	0.5914	0.5349
88	0.7560	0.5562	0.7430	0.6723	0.5266	0.5178	0.3464	0.5178	0.5222
89	0.7537	0.5417	0.7494	0.6666	0.5424	0.4857	0.3446	0.4857	0.5125
90	0.7537	0.5337	0.7539	0.6358	0.5699	0.3777	0.3038	0.3777	0.4543
91	0.7544	0.5386	0.7333	0.6698	0.5080	0.5309	0.3348	0.5309	0.5192
92	0.7524	0.5458	0.7333	0.6716	0.5079	0.5368	0.3372	0.5368	0.5219
93	0.7501	0.5421	0.7514	0.6508	0.5534	0.4311	0.3241	0.4311	0.4846
94	0.7511	0.5398	0.7285	0.6605	0.4994	0.5119	0.3185	0.5119	0.5056
95	0.7564	0.5484	0.7333	0.6690	0.5080	0.5285	0.3338	0.5285	0.5180
96	0.7543	0.5454	0.7446	0.6615	0.5323	0.4798	0.3333	0.4798	0.5047
97	0.7520	0.5360	0.7472	0.6453	0.5435	0.4228	0.3125	0.4228	0.4756
98	0.7498	0.5373	0.7488	0.6539	0.5449	0.4466	0.3263	0.4466	0.4909
99	0.7510	0.5431	0.7372	0.6571	0.5165	0.4822	0.3210	0.4822	0.4988
