Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL	f1_scores
0	0.6383	0.4046	0.7333	0.5124	0.6944	0.0297	0.0355	0.0297	0.0569
1	0.6478	0.4209	0.7337	0.5123	0.7273	0.0285	0.0351	0.0285	0.0549
2	0.6498	0.4234	0.7346	0.5167	0.6800	0.0404	0.0473	0.0404	0.0762
3	0.6570	0.4299	0.7337	0.5175	0.6230	0.0451	0.0493	0.0451	0.0842
4	0.6592	0.4403	0.7227	0.5939	0.4826	0.3124	0.2111	0.3124	0.3792
5	0.6687	0.4444	0.7366	0.5195	0.7308	0.0451	0.0552	0.0451	0.0850
6	0.6781	0.4545	0.7395	0.5420	0.6078	0.1105	0.1130	0.1105	0.1869
7	0.6865	0.4620	0.7407	0.5473	0.6069	0.1247	0.1261	0.1247	0.2069
8	0.6965	0.4723	0.7456	0.5667	0.6066	0.1758	0.1716	0.1758	0.2726
9	0.7054	0.4827	0.7440	0.5794	0.5728	0.2197	0.1968	0.2197	0.3176
10	0.7128	0.4902	0.7446	0.5612	0.6109	0.1603	0.1592	0.1603	0.2540
11	0.7149	0.4941	0.7440	0.6010	0.5535	0.2886	0.2377	0.2886	0.3794
12	0.7186	0.4946	0.7436	0.5571	0.6117	0.1496	0.1498	0.1496	0.2405
13	0.7217	0.4984	0.7424	0.5962	0.5495	0.2767	0.2278	0.2767	0.3681
14	0.7225	0.5034	0.7462	0.5917	0.5722	0.2542	0.2222	0.2542	0.3520
15	0.7289	0.4966	0.7404	0.5631	0.5692	0.1758	0.1613	0.1758	0.2686
16	0.7261	0.4999	0.7395	0.5353	0.6410	0.0891	0.0966	0.0891	0.1564
17	0.7354	0.5061	0.7430	0.6175	0.5412	0.3432	0.2655	0.3432	0.4201
18	0.7318	0.5083	0.7475	0.5960	0.5747	0.2648	0.2310	0.2648	0.3626
19	0.7359	0.5063	0.7424	0.5947	0.5505	0.2720	0.2251	0.2720	0.3641
20	0.7411	0.5183	0.7491	0.6086	0.5708	0.3017	0.2550	0.3017	0.3947
