label,x,y
BIOCARTA_41BB_PATHWAY,6.531634155409563,-5.885222286636584
BIOCARTA_ACE2_PATHWAY,-6.307305365148906,-4.504441108742332
BIOCARTA_ACETAMINOPHEN_PATHWAY,3.928274470979704,0.9322687440008544
BIOCARTA_ACH_PATHWAY,-0.709278603356363,-0.4165345390369769
BIOCARTA_ACTINY_PATHWAY,13.32004622051845,4.520383074122952
BIOCARTA_AGPCR_PATHWAY,3.0318422940787753,-5.055167212900445
BIOCARTA_AGR_PATHWAY,5.376004837576738,-5.809763841255117
BIOCARTA_AHSP_PATHWAY,9.15083886409689,-0.9257504364052166
BIOCARTA_AKAP13_PATHWAY,5.143800558806332,-6.673059723529761
BIOCARTA_AKAP95_PATHWAY,7.504336149049906,5.62249933838807
BIOCARTA_AKAPCENTROSOME_PATHWAY,8.641699006290077,2.543249733123706
BIOCARTA_AKT_PATHWAY,15.850368570658018,3.15465943338045
BIOCARTA_ALK_PATHWAY,-1.0826339351032415,-3.9655202780277516
BIOCARTA_ALTERNATIVE_PATHWAY,10.763399368394294,14.841316599679324
BIOCARTA_AMAN_PATHWAY,-4.145723692760044,0.4990094795264345
BIOCARTA_AMI_PATHWAY,12.298466570678004,15.979822907312494
BIOCARTA_ARAP_PATHWAY,16.654281079887372,2.511038626515006
BIOCARTA_ARENRF2_PATHWAY,18.899138465481343,11.542733595127363
BIOCARTA_ARF_PATHWAY,7.843735451600694,-0.5201258481858634
BIOCARTA_ASBCELL_PATHWAY,-3.700447029454599,5.305773338144822
BIOCARTA_AT1R_PATHWAY,17.64277820513012,12.423067292365578
BIOCARTA_ATM_PATHWAY,8.969239673340617,1.2932362688655137
BIOCARTA_ATRBRCA_PATHWAY,-3.6688005263264385,-2.784215594947811
BIOCARTA_BAD_PATHWAY,3.1136302847066673,-4.2995039911875885
BIOCARTA_BARD1_PATHWAY,-7.245735507687648,-1.6150449050902824
BIOCARTA_BARRESTIN_PATHWAY,0.3452658222328263,-0.04320755171376192
BIOCARTA_BARRESTIN_SRC_PATHWAY,7.446319633082904,-7.6543488388157375
BIOCARTA_BARR_MAPK_PATHWAY,6.779781258708041,-6.464537766242774
BIOCARTA_BBCELL_PATHWAY,-0.8027586048054414,1.6827601886773502
BIOCARTA_BCELLSURVIVAL_PATHWAY,21.913013561332384,6.781364319193372
BIOCARTA_BCR_PATHWAY,18.381767720083843,-4.164071272716942
BIOCARTA_BIOPEPTIDES_PATHWAY,17.431633650896405,10.92832959723397
BIOCARTA_BLYMPHOCYTE_PATHWAY,-0.3281962574148911,2.9986858527765983
BIOCARTA_BTG2_PATHWAY,11.576845690509101,-7.415713762025544
BIOCARTA_CACAM_PATHWAY,2.417092290701301,-3.9861710273386373
BIOCARTA_CALCINEURIN_PATHWAY,14.188898761478422,-4.082597974811523
BIOCARTA_CARDIACEGF_PATHWAY,16.573531785934346,-5.40297606784792
BIOCARTA_CARM1_PATHWAY,13.538477039335541,-1.6771558879291921
BIOCARTA_CARM_ER_PATHWAY,7.575473688314668,-3.816022664440375
BIOCARTA_CASPASE_PATHWAY,16.303247223035918,-3.548575782400873
BIOCARTA_CB1R_PATHWAY,15.345457062322698,5.597156274463548
BIOCARTA_CBL_PATHWAY,12.480158356779038,-7.9062437318905605
BIOCARTA_CCR3_PATHWAY,7.694418088106477,-5.453054518261743
BIOCARTA_CCR5_PATHWAY,21.779434619192223,2.849513702765299
BIOCARTA_CD40_PATHWAY,16.615126660006005,-3.311353076875564
BIOCARTA_CDC25_PATHWAY,3.8469814285158193,3.6811438604964977
BIOCARTA_CDC42RAC_PATHWAY,21.339093192852072,10.936184646468172
BIOCARTA_CDK5_PATHWAY,19.425662193624326,3.7799926903288474
BIOCARTA_CDMAC_PATHWAY,22.038468727542735,6.377104811466617
BIOCARTA_CELL2CELL_PATHWAY,8.539681466433544,-2.836684642527975
BIOCARTA_CELLCYCLE_PATHWAY,5.918935447824137,3.607392742330412
BIOCARTA_CERAMIDE_PATHWAY,18.141874999983376,6.222872276734183
BIOCARTA_CFTR_PATHWAY,3.0085133760875378,-3.2619710683721053
BIOCARTA_CHEMICAL_PATHWAY,15.552882139283495,2.9454854325858086
