Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL	f1_scores
66	0.8660	0.8079	0.7708	0.7631	0.7133	0.7234	0.5251	0.7234	0.7183
67	0.8698	0.8145	0.7708	0.7586	0.7259	0.6950	0.5207	0.6950	0.7101
68	0.8669	0.8101	0.7708	0.7643	0.7103	0.7305	0.5262	0.7305	0.7203
69	0.8688	0.8152	0.7708	0.7689	0.6993	0.7589	0.5304	0.7589	0.7279
70	0.8700	0.8205	0.7822	0.7591	0.7826	0.6383	0.5340	0.6383	0.7031
71	0.8628	0.8056	0.7708	0.7494	0.7563	0.6383	0.5117	0.6383	0.6923
72	0.8740	0.8195	0.7736	0.7610	0.7313	0.6950	0.5262	0.6950	0.7127
73	0.8687	0.8110	0.7736	0.7793	0.6867	0.8085	0.5430	0.8085	0.7427
74	0.8747	0.8193	0.7822	0.7750	0.7273	0.7376	0.5488	0.7376	0.7324
75	0.8720	0.8196	0.7822	0.7682	0.7481	0.6950	0.5426	0.6950	0.7206
76	0.8706	0.8174	0.7708	0.7597	0.7226	0.7021	0.5218	0.7021	0.7122
77	0.8733	0.8184	0.7708	0.7631	0.7133	0.7234	0.5251	0.7234	0.7183
78	0.8739	0.8197	0.7822	0.7728	0.7338	0.7234	0.5468	0.7234	0.7286
79	0.8719	0.8198	0.7765	0.7702	0.7172	0.7376	0.5380	0.7376	0.7273
80	0.8702	0.8158	0.7593	0.7638	0.6727	0.7872	0.5135	0.7872	0.7255
81	0.8711	0.8202	0.7822	0.7693	0.7444	0.7021	0.5436	0.7021	0.7226
82	0.8720	0.8216	0.7765	0.7622	0.7405	0.6879	0.5305	0.6879	0.7132
83	0.8738	0.8214	0.7794	0.7704	0.7286	0.7234	0.5413	0.7234	0.7260
84	0.8693	0.8185	0.7822	0.7648	0.7600	0.6738	0.5394	0.6738	0.7143
85	0.8684	0.8142	0.7708	0.7666	0.7047	0.7447	0.5283	0.7447	0.7241
86	0.8687	0.8191	0.7736	0.7735	0.6987	0.7730	0.5379	0.7730	0.7340
87	0.8721	0.8221	0.7765	0.7714	0.7143	0.7447	0.5391	0.7447	0.7292
88	0.8710	0.8168	0.7650	0.7640	0.6903	0.7589	0.5198	0.7589	0.7230
89	0.8713	0.8175	0.7679	0.7642	0.7000	0.7447	0.5230	0.7447	0.7216
90	0.8637	0.8093	0.7679	0.7539	0.7273	0.6809	0.5130	0.6809	0.7033
