Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL	f1_scores
0	0.8050	0.7323	0.7507	0.7121	0.7157	0.5573	0.4438	0.5573	0.6266
1	0.8365	0.7551	0.7765	0.7663	0.6934	0.7252	0.5277	0.7252	0.7090
2	0.8399	0.7654	0.7736	0.7564	0.7031	0.6870	0.5151	0.6870	0.6950
3	0.8447	0.7599	0.7593	0.7175	0.7423	0.5496	0.4587	0.5496	0.6316
4	0.8491	0.7719	0.7421	0.6732	0.8254	0.3969	0.3865	0.3969	0.5361
5	0.8534	0.7813	0.7794	0.7533	0.7328	0.6489	0.5185	0.6489	0.6883
6	0.8520	0.7874	0.7851	0.7610	0.7373	0.6641	0.5325	0.6641	0.6988
7	0.8594	0.7945	0.7822	0.7678	0.7099	0.7099	0.5356	0.7099	0.7099
8	0.8627	0.7911	0.7880	0.7435	0.8132	0.5649	0.5185	0.5649	0.6667
9	0.8653	0.7950	0.7880	0.7435	0.8132	0.5649	0.5185	0.5649	0.6667
10	0.8617	0.8006	0.7880	0.7633	0.7436	0.6641	0.5380	0.6641	0.7016
11	0.8642	0.8066	0.7908	0.7808	0.7132	0.7405	0.5573	0.7405	0.7266
12	0.8668	0.8098	0.7908	0.7777	0.7197	0.7252	0.5546	0.7252	0.7224
13	0.8710	0.8047	0.8023	0.7702	0.7925	0.6412	0.5617	0.6412	0.7089
14	0.8749	0.8165	0.8080	0.7824	0.7807	0.6794	0.5797	0.6794	0.7265
15	0.8734	0.8143	0.7908	0.7762	0.7231	0.7176	0.5533	0.7176	0.7203
16	0.8764	0.8217	0.7851	0.7808	0.6944	0.7634	0.5506	0.7634	0.7273
17	0.8858	0.8274	0.8080	0.7702	0.8265	0.6183	0.5689	0.6183	0.7074
18	0.8810	0.8202	0.8080	0.7778	0.7963	0.6565	0.5757	0.6565	0.7197
19	0.8860	0.8283	0.7966	0.7717	0.7586	0.6718	0.5560	0.6718	0.7126
20	0.8820	0.8237	0.8023	0.7945	0.7246	0.7634	0.5828	0.7634	0.7435
21	0.8813	0.8215	0.7851	0.7899	0.6795	0.8092	0.5585	0.8092	0.7387
22	0.8835	0.8218	0.7937	0.7876	0.7092	0.7634	0.5667	0.7634	0.7353
23	0.8872	0.8322	0.8223	0.8091	0.7674	0.7557	0.6200	0.7557	0.7615
24	0.8841	0.8240	0.7708	0.7769	0.6604	0.8015	0.5312	0.8015	0.7241
25	0.8877	0.8272	0.7966	0.7869	0.7206	0.7481	0.5694	0.7481	0.7341
26	0.8856	0.8298	0.7994	0.7846	0.7364	0.7252	0.5710	0.7252	0.7308
27	0.8879	0.8305	0.8138	0.7885	0.7895	0.6870	0.5923	0.6870	0.7347
28	0.8859	0.8223	0.8023	0.7884	0.7385	0.7328	0.5777	0.7328	0.7356
29	0.8898	0.8348	0.8195	0.7915	0.8091	0.6794	0.6023	0.6794	0.7386
30	0.8855	0.8219	0.8109	0.7846	0.7876	0.6794	0.5853	0.6794	0.7295
31	0.8897	0.8324	0.8223	0.8030	0.7851	0.7252	0.6153	0.7252	0.7540
32	0.8938	0.8355	0.8138	0.7915	0.7797	0.7023	0.5948	0.7023	0.7390
33	0.8928	0.8359	0.8109	0.7953	0.7559	0.7328	0.5942	0.7328	0.7442
34	0.8969	0.8450	0.8109	0.7984	0.7481	0.7481	0.5967	0.7481	0.7481
35	0.8882	0.8323	0.8223	0.7999	0.7949	0.7099	0.6129	0.7099	0.7500
36	0.8940	0.8336	0.8195	0.7915	0.8091	0.6794	0.6023	0.6794	0.7386
37	0.8927	0.8373	0.7908	0.7777	0.7197	0.7252	0.5546	0.7252	0.7224
38	0.8921	0.8360	0.8166	0.7923	0.7913	0.6947	0.5992	0.6947	0.7398
39	0.8993	0.8475	0.8195	0.7900	0.8148	0.6718	0.6011	0.6718	0.7364
40	0.8953	0.8383	0.8166	0.8014	0.7638	0.7405	0.6065	0.7405	0.7519
41	0.8924	0.8407	0.8023	0.7930	0.7279	0.7557	0.5816	0.7557	0.7416
42	0.8913	0.8318	0.8052	0.7816	0.7692	0.6870	0.5754	0.6870	0.7258
43	0.8947	0.8454	0.8252	0.7946	0.8302	0.6718	0.6125	0.6718	0.7426
44	0.8981	0.8481	0.8138	0.7915	0.7797	0.7023	0.5948	0.7023	0.7390
45	0.8951	0.8407	0.7966	0.8021	0.6923	0.8244	0.5821	0.8244	0.7526
46	0.8987	0.8526	0.8023	0.8067	0.7013	0.8244	0.5927	0.8244	0.7579
47	0.8987	0.8476	0.8281	0.7984	0.8318	0.6794	0.6195	0.6794	0.7479
48	0.8981	0.8494	0.8195	0.7885	0.8208	0.6641	0.5998	0.6641	0.7342
49	0.8985	0.8529	0.8023	0.7976	0.7183	0.7786	0.5853	0.7786	0.7473
50	0.8985	0.8461	0.8138	0.8067	0.7391	0.7786	0.6070	0.7786	0.7584
51	0.9010	0.8556	0.8195	0.8174	0.7361	0.8092	0.6225	0.8092	0.7709
52	0.8909	0.8322	0.8223	0.7938	0.8165	0.6794	0.6080	0.6794	0.7417
53	0.8998	0.8524	0.8252	0.7915	0.8431	0.6565	0.6100	0.6565	0.7382
54	0.8981	0.8523	0.8223	0.7938	0.8165	0.6794	0.6080	0.6794	0.7417
55	0.8924	0.8338	0.8138	0.8007	0.7538	0.7481	0.6022	0.7481	0.7510
56	0.8966	0.8528	0.7966	0.7915	0.7113	0.7710	0.5733	0.7710	0.7399
57	0.8981	0.8417	0.8138	0.8007	0.7538	0.7481	0.6022	0.7481	0.7510
58	0.8985	0.8444	0.8023	0.8006	0.7123	0.7939	0.5878	0.7939	0.7509
59	0.8945	0.8453	0.8252	0.8098	0.7778	0.7481	0.6244	0.7481	0.7626
60	0.8973	0.8423	0.8138	0.8052	0.7426	0.7710	0.6058	0.7710	0.7566
61	0.8886	0.8343	0.7851	0.7838	0.6892	0.7786	0.5533	0.7786	0.7312
62	0.9037	0.8571	0.8195	0.8129	0.7464	0.7863	0.6191	0.7863	0.7658
63	0.8962	0.8402	0.8109	0.8029	0.7372	0.7710	0.6004	0.7710	0.7537
64	0.8989	0.8464	0.8195	0.8098	0.7537	0.7710	0.6168	0.7710	0.7623
65	0.8924	0.8374	0.8109	0.7938	0.7600	0.7252	0.5930	0.7252	0.7422
66	0.8968	0.8483	0.8166	0.8014	0.7638	0.7405	0.6065	0.7405	0.7519
67	0.8987	0.8485	0.8252	0.8159	0.7612	0.7786	0.6290	0.7786	0.7698
68	0.8966	0.8477	0.8252	0.8235	0.7431	0.8168	0.6345	0.8168	0.7782
69	0.9001	0.8533	0.8052	0.8090	0.7059	0.8244	0.5980	0.8244	0.7606
70	0.8980	0.8549	0.8223	0.8091	0.7674	0.7557	0.6200	0.7557	0.7615
