Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL	f1_scores
0	0.7981	0.7771	0.7364	0.7144	0.7568	0.5638	0.4432	0.5638	0.6462
1	0.8280	0.7934	0.7364	0.7169	0.7436	0.5839	0.4461	0.5839	0.6541
2	0.8330	0.7879	0.7450	0.7253	0.7586	0.5906	0.4637	0.5906	0.6642
3	0.8408	0.7876	0.7421	0.7185	0.7757	0.5570	0.4533	0.5570	0.6484
4	0.8489	0.7990	0.7507	0.7346	0.7500	0.6242	0.4794	0.6242	0.6813
5	0.8623	0.8188	0.7880	0.7748	0.7907	0.6846	0.5591	0.6846	0.7338
6	0.8657	0.8329	0.7880	0.7842	0.7483	0.7584	0.5674	0.7584	0.7533
7	0.8804	0.8497	0.8052	0.7983	0.7832	0.7517	0.5998	0.7517	0.7671
8	0.8728	0.8459	0.7880	0.7868	0.7389	0.7785	0.5696	0.7785	0.7582
9	0.8819	0.8562	0.8052	0.7932	0.8092	0.7114	0.5956	0.7114	0.7571
10	0.8872	0.8612	0.8052	0.7941	0.8045	0.7181	0.5963	0.7181	0.7589
11	0.8895	0.8636	0.7908	0.7739	0.8167	0.6577	0.5617	0.6577	0.7286
12	0.8899	0.8637	0.7851	0.7646	0.8304	0.6242	0.5465	0.6242	0.7126
13	0.8898	0.8606	0.7880	0.7696	0.8205	0.6443	0.5545	0.6443	0.7218
14	0.8907	0.8472	0.8195	0.8151	0.7905	0.7852	0.6308	0.7852	0.7879
15	0.8891	0.8548	0.8252	0.8235	0.7857	0.8121	0.6443	0.8121	0.7987
16	0.8991	0.8689	0.8195	0.8117	0.8071	0.7584	0.6282	0.7584	0.7820
17	0.8967	0.8564	0.8138	0.8204	0.7414	0.8658	0.6274	0.8658	0.7988
18	0.8994	0.8610	0.8252	0.8210	0.7973	0.7919	0.6425	0.7919	0.7946
19	0.8993	0.8735	0.8080	0.7957	0.8154	0.7114	0.6012	0.7114	0.7599
20	0.9035	0.8719	0.8223	0.8168	0.8000	0.7785	0.6357	0.7785	0.7891
21	0.9036	0.8733	0.8166	0.8109	0.7931	0.7718	0.6239	0.7718	0.7823
22	0.9037	0.8679	0.8309	0.8226	0.8261	0.7651	0.6512	0.7651	0.7944
23	0.9037	0.8691	0.8223	0.8168	0.8000	0.7785	0.6357	0.7785	0.7891
24	0.9049	0.8633	0.8166	0.8118	0.7891	0.7785	0.6246	0.7785	0.7838
25	0.9059	0.8710	0.8252	0.8150	0.8284	0.7450	0.6382	0.7450	0.7845
26	0.9057	0.8659	0.8252	0.8184	0.8099	0.7718	0.6406	0.7718	0.7904
27	0.9039	0.8646	0.8309	0.8234	0.8214	0.7718	0.6518	0.7718	0.7958
28	0.9067	0.8651	0.8252	0.8253	0.7785	0.8255	0.6455	0.8255	0.8013
29	0.9101	0.8692	0.8252	0.8218	0.7933	0.7987	0.6431	0.7987	0.7960
30	0.9146	0.8737	0.8195	0.8117	0.8071	0.7584	0.6282	0.7584	0.7820
31	0.9113	0.8703	0.8166	0.8109	0.7931	0.7718	0.6239	0.7718	0.7823
32	0.9103	0.8690	0.8309	0.8268	0.8041	0.7987	0.6542	0.7987	0.8013
33	0.9094	0.8709	0.8109	0.8008	0.8074	0.7315	0.6088	0.7315	0.7676
34	0.9102	0.8759	0.8109	0.8085	0.7712	0.7919	0.6148	0.7919	0.7815
35	0.9102	0.8684	0.8195	0.8254	0.7500	0.8658	0.6382	0.8658	0.8037
36	0.9170	0.8849	0.8281	0.8355	0.7543	0.8859	0.6563	0.8859	0.8148
37	0.9088	0.8715	0.8195	0.8203	0.7688	0.8255	0.6345	0.8255	0.7961
38	0.9113	0.8752	0.8252	0.8201	0.8014	0.7852	0.6419	0.7852	0.7932
39	0.9042	0.8655	0.8080	0.7957	0.8154	0.7114	0.6012	0.7114	0.7599
40	0.9069	0.8694	0.8109	0.7973	0.8268	0.7047	0.6061	0.7047	0.7609
41	0.9121	0.8797	0.8223	0.8168	0.8000	0.7785	0.6357	0.7785	0.7891
42	0.9136	0.8800	0.8223	0.8193	0.7881	0.7987	0.6376	0.7987	0.7933
43	0.9106	0.8772	0.8166	0.8075	0.8102	0.7450	0.6213	0.7450	0.7762
44	0.9071	0.8736	0.8109	0.8016	0.8029	0.7383	0.6095	0.7383	0.7692
45	0.9094	0.8733	0.8166	0.8058	0.8195	0.7315	0.6200	0.7315	0.7730
