Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL	f1_scores
0	0.8423	0.7934	0.7622	0.7543	0.6993	0.7143	0.5068	0.7143	0.7067
1	0.8602	0.8244	0.7880	0.7841	0.7230	0.7643	0.5628	0.7643	0.7431
2	0.8629	0.8315	0.7679	0.7308	0.8172	0.5429	0.4886	0.5429	0.6524
3	0.8773	0.8445	0.7994	0.7818	0.7823	0.6929	0.5745	0.6929	0.7348
4	0.8848	0.8512	0.8138	0.8032	0.7778	0.7500	0.6101	0.7500	0.7636
5	0.8837	0.8527	0.8281	0.8187	0.7941	0.7714	0.6405	0.7714	0.7826
6	0.8913	0.8630	0.8281	0.8187	0.7941	0.7714	0.6405	0.7714	0.7826
7	0.8929	0.8665	0.8195	0.8045	0.8031	0.7286	0.6184	0.7286	0.7640
8	0.9052	0.8823	0.8252	0.8104	0.8110	0.7357	0.6305	0.7357	0.7715
9	0.9082	0.8846	0.8338	0.8259	0.7971	0.7857	0.6533	0.7857	0.7914
10	0.9048	0.8782	0.8195	0.8033	0.8080	0.7214	0.6175	0.7214	0.7623
11	0.8983	0.8671	0.8052	0.7654	0.9186	0.5643	0.5669	0.5643	0.6991
12	0.9136	0.8885	0.8338	0.8141	0.8475	0.7143	0.6449	0.7143	0.7752
13	0.9125	0.8883	0.8338	0.8129	0.8534	0.7071	0.6440	0.7071	0.7734
14	0.9132	0.8835	0.8309	0.8129	0.8347	0.7214	0.6401	0.7214	0.7739
15	0.9198	0.8923	0.8395	0.8307	0.8088	0.7857	0.6644	0.7857	0.7971
16	0.9180	0.8881	0.8367	0.8129	0.8739	0.6929	0.6480	0.6929	0.7729
17	0.9153	0.8879	0.8481	0.8308	0.8595	0.7429	0.6767	0.7429	0.7969
18	0.9224	0.8955	0.8481	0.8390	0.8222	0.7929	0.6820	0.7929	0.8073
19	0.9194	0.8907	0.8481	0.8331	0.8480	0.7571	0.6782	0.7571	0.8000
20	0.9256	0.9055	0.8453	0.8390	0.8071	0.8071	0.6780	0.8071	0.8071
21	0.9198	0.8954	0.8252	0.8258	0.7582	0.8286	0.6417	0.8286	0.7918
22	0.9268	0.9029	0.8539	0.8485	0.8156	0.8214	0.6962	0.8214	0.8185
23	0.9145	0.8816	0.8281	0.8069	0.8448	0.7000	0.6318	0.7000	0.7656
24	0.9282	0.9078	0.8567	0.8603	0.7885	0.8786	0.7073	0.8786	0.8311
25	0.9247	0.8960	0.8281	0.8400	0.7326	0.9000	0.6552	0.9000	0.8077
26	0.9248	0.8980	0.8367	0.8424	0.7578	0.8714	0.6683	0.8714	0.8106
27	0.9252	0.9004	0.8510	0.8402	0.8333	0.7857	0.6869	0.7857	0.8088
28	0.9248	0.8976	0.8539	0.8509	0.8069	0.8357	0.6976	0.8357	0.8211
29	0.9251	0.8965	0.8453	0.8437	0.7905	0.8357	0.6810	0.8357	0.8125
30	0.9266	0.9033	0.8567	0.8474	0.8358	0.8000	0.6997	0.8000	0.8175
31	0.9225	0.8952	0.8625	0.8557	0.8333	0.8214	0.7131	0.8214	0.8273
32	0.9191	0.8940	0.8424	0.8189	0.8829	0.7000	0.6604	0.7000	0.7809
33	0.9267	0.9075	0.8625	0.8533	0.8433	0.8071	0.7117	0.8071	0.8248
34	0.9204	0.8800	0.8453	0.8496	0.7722	0.8714	0.6846	0.8714	0.8188
35	0.9189	0.8898	0.8166	0.8245	0.7289	0.8643	0.6297	0.8643	0.7908
36	0.9252	0.8978	0.8567	0.8544	0.8082	0.8429	0.7039	0.8429	0.8252
37	0.9239	0.8953	0.8510	0.8343	0.8607	0.7500	0.6832	0.7500	0.8015
38	0.9234	0.8976	0.8453	0.8272	0.8583	0.7357	0.6702	0.7357	0.7923
39	0.9244	0.9023	0.8567	0.8427	0.8571	0.7714	0.6968	0.7714	0.8120
40	0.9184	0.8936	0.8395	0.8236	0.8387	0.7429	0.6596	0.7429	0.7879
41	0.9184	0.8938	0.8453	0.8237	0.8772	0.7143	0.6678	0.7143	0.7874
42	0.9207	0.8922	0.8539	0.8414	0.8450	0.7786	0.6919	0.7786	0.8104
43	0.9238	0.8963	0.8653	0.8581	0.8394	0.8214	0.7187	0.8214	0.8303
44	0.9242	0.9023	0.8539	0.8391	0.8560	0.7643	0.6904	0.7643	0.8075
45	0.9185	0.8865	0.8424	0.8366	0.8014	0.8071	0.6724	0.8071	0.8043
46	0.9266	0.9042	0.8510	0.8402	0.8333	0.7857	0.6869	0.7857	0.8088
